Owner,Team,Purchase Price,Year acquired,Net Worth,Team Value,Operating Income,Stadium Cost,Year Stadium Built,Taxpayer help,Last renovation,Renovation cost,Did owner pay for stadium construction? ,Did owner pay for renovation? ,Inherit team? ,Ownership type
Michael Bidwill,Arizona Cardinals,50000.00,1932,1400000000.00,3270000000.00,112000000.00,455000000.00,2006,Yes,,,No,,Yes,Single
Arthur Blank,Atlanta Falcons,545000000.00,2002,7200000000.00,4000000000.00,171800000.00,1600000000.00,2017,Yes,,,Yes,,No,Single
Steve Bisciotti,Baltimore Ravens,325000000.00,2000,5700000000.00,3900000000.00,127400000.00,220000000.00,1998,Yes,2019,120000000.00,No,Yes,,Single
Kim & Terry Pegula,Buffalo Bills,1400000000.00,2014,5700000000.00,3400000000.00,83400000.00,22000000.00,1973,Yes,2014,130000000.00,No,Yes,No,Couple
David Tepper,Carolina Panthers,2275000000.00,2018,15800000000.00,3575000000.00,138800000.00,248000000.00,1996,No,2017,47000000.00,No,No,No,Single
Virginia Halas McCaskey,Chicago Bears,100.00,1983,1300000000.00,5600000000.00,155700000.00,690000000.00,2003,Yes,,,No,,Yes,Single
Mike Brown,Cincinnati Bengals,200000000.00,1991,925000000.00,3000000000.00,113800000.00,455000000.00,2000,Yes,,,Yes,,Yes,Single
Jimmy & Dee Haslam,Cleveland Browns,1050000000.00,2012,3700000000.00,3850000000.00,90200000.00,283000000.00,1999,Yes,2013,120000000.00,No,Yes,No,Couple
Jerry Jones,Dallas Cowboys,140000000.00,1989,9100000000.00,8000000000.00,465900000.00,13000000000.00,2009,Yes,,,Yes,,No,Single
Rob Walton,Denver Broncos,4650000000.00,2022,59000000000.00,4650000000.00,143100000.00,401000000.00,2001,Yes,2013,32000000.00,No,No,No,Single
Sheila Ford Hamp,Detroit Lions,4500000.00,2020,2000000000.00,3050000000.00,88600000.00,500000000.00,2002,Yes,2017,100000000.00,No,No,Yes,Single
Green Bay Packers Inc.,Green Bay Packers,N/A,1923,N/A,4250000000.00,138400000.00,960000.00,1957,Yes,2015,140000000.00,N/A,N/A,N/A,Corporation
Janice McNair,Houston Texans,700000000.00,1999,4200000000.00,4700000000.00,211500000.00,323000000.00,2002,No,,,No,,Yes,Single
Jim Irsay,Indianapolis Colts,19000000.00,1997,3000000000.00,3800000000.00,99600000.00,720000000.00,2008,Yes,,,Yes,,Yes,Single
Shahid Khan,Jacksonville Jaguars,760000000.00,2012,8500000000.00,3475000000.00,113700000.00,121000000.00,1995,Yes,2016,90000000.00,No,Yes,,Single
Clark Hunt,Kansas City Chiefs,25000.00,2006,15300000000.00,3700000000.00,118800000.00,43000000.00,1972,Yes,2010,375000000.00,No,Yes,Yes,Single
Mark Davis,Las Vegas Raiders,,2011,500000000.00,5100000000.00,116500000.00,1800000000.00,2020,Yes,,,Yes,,Yes,Single
Dean Spanos,Los Angeles Chargers,72000000.00,2018,2400000000.00,3875000000.00,155700000.00,0.00,2020,No,,,Yes,,Yes,Single
Stan Kroenke,Los Angeles Rams,750000000.00,2010,10700000000.00,6200000000.00,203100000.00,5000000000.00,2020,No,,,Yes,,No,Single
Stephen M. Ross,Miami Dolphins,1000000000.00,2008,8300000000.00,4600000000.00,160200000.00,115000000.00,1987,No,2015,500000000.00,No,Yes,No,Single
Zygi Wilf,Minnesota Vikings,600000000.00,2005,1300000000.00,3900000000.00,140900000.00,1100000000.00,2016,Yes,,,Yes,,No,Single
Robert Kraft,New England Patriots,175000000.00,1994,8300000000.00,6400000000.00,230500000.00,325000000.00,2002,No,,,Yes,,No,Single
Gayle Benson,New Orleans Saints,64000000.00,2018,3800000000.00,3575000000.00,125200000.00,134000000.00,1975,Yes,2011,224000000.00,No,No,Yes,Single
John Mara & Steve Tisch,New York Giants,500.00,2005,1700000000.00,6000000000.00,177900000.00,800000000.00,2010,No,,,Yes,,Yes,Couple
Robert Wood Johnson & Christopher Johnson ,New York Jets,635000000.00,2000,6300000000.00,5700000000.00,135800000.00,800000000.00,2010,No,,,Yes,,No,Couple
Jeffrey Lurie,Philadelphia Eagles,185000000.00,1994,3500000000.00,4900000000.00,144800000.00,512000000.00,2003,Yes,2014,125000000.00,Yes,Yes,No,Single
Art Rooney II,Pittsburgh Steelers,2500.00,2003,750000000.00,3975000000.00,135100000.00,281000000.00,2001,Yes,2015,35000000.00,No,Yes,Yes,Single
Denise DeBartolo York & Jed York,San Francisco 49ers,17000000.00,2008,4000000000.00,5200000000.00,142500000.00,1200000000.00,2014,Yes,,,Yes,,Yes,Couple
Jody Allen ,Seattle Seahawks,200000000.00,2018,20300000000.00,4500000000.00,122700000.00,430000000.00,2002,Yes,,,No,,Yes,Single
Malcolm Glazer,Tampa Bay Buccaneers,192000000.00,1995,4700000000.00,3675000000.00,62300000.00,194000000.00,1998,Yes,2016,140000000.00,Yes,Yes,No,Single
Amy Adams Strunk,Tennessee Titans,25000.00,2015,1300000000.00,3500000000.00,114600000.00,290000000.00,1999,Yes,,,No,,Yes,Single
Dan Snyder,Washington Commanders,800000000.00,1999,2600000000.00,5600000000.00,130300000.00,250000000.00,1997,Yes,,,No,,No,Single
